xCoord,yCoord,1,2,3,4,5,6,7,8
0,0,-24,-78,-74,-76,-79,-74,-76,-80
0,0,-24,-78,-81,-76,-79,-74,-76,-76
0,0,-27,-78,-81,-76,-79,-74,-76,-76
0,0,-27,-78,-81,-76,-79,-72,-76,-76
0,0,-27,-78,-74,-76,-79,-72,-76,-76
0,0,-24,-78,-74,-76,-79,-72,-76,-76
0,0,-24,-78,-74,-76,-79,-72,-76,-76
0,0,-24,-79,-74,-76,-79,-72,-76,-76
0,0,-24,-79,-74,-76,-79,-72,-76,-76
0,0,-24,-79,-74,-77,-79,-72,-76,-76
0,0,-24,-79,-81,-77,-79,-72,-76,-76
0,0,-27,-79,-81,-77,-79,-72,-76,-76
0,0,-27,-79,-81,-77,-79,-72,-76,-76
0,0,-27,-79,-81,-77,-80,-72,-76,-76
0,0,-27,-79,-81,-77,-80,-72,-77,-76
0,0,-27,-73,-81,-77,-80,-72,-77,-76
0,0,-27,-73,-83,-77,-80,-72,-77,-76
0,0,-27,-73,-83,-77,-80,-75,-77,-76
0,0,-27,-73,-83,-77,-80,-75,-77,-78
0,0,-24,-73,-83,-77,-80,-75,-77,-78
0,0,-25,-73,-83,-77,-80,-75,-77,-78
0,0,-25,-73,-83,-77,-80,-75,-77,-78
0,0,-25,-73,-83,-77,-79,-75,-77,-78
0,0,-25,-73,-83,-77,-79,-75,-77,-78
0,0,-25,-73,-83,-77,-79,-75,-77,-78
0,0,-25,-73,-83,-77,-79,-75,-77,-78
0,0,-25,-73,-82,-77,-79,-75,-77,-78
0,0,-25,-73,-82,-77,-79,-74,-77,-78
0,0,-24,-73,-82,-77,-79,-74,-77,-77
0,0,-25,-73,-82,-77,-79,-74,-77,-77
0,0,-24,-73,-82,-77,-79,-74,-72,-77
0,0,-24,-79,-82,-77,-79,-74,-72,-77
0,0,-24,-79,-81,-77,-79,-74,-72,-77
0,0,-24,-79,-81,-76,-79,-74,-72,-77
0,0,-24,-79,-81,-76,-79,-74,-72,-76
0,0,-24,-79,-81,-76,-80,-74,-72,-76
0,0,-24,-73,-82,-76,-80,-74,-72,-76
0,0,-24,-73,-81,-76,-80,-74,-72,-76
0,0,-24,-73,-81,-76,-80,-74,-72,-76
0,0,-24,-73,-81,-76,-80,-74,-72,-76
0,0,-24,-73,-81,-76,-80,-74,-72,-76
0,0,-24,-73,-81,-76,-80,-74,-72,-76
0,0,-25,-73,-81,-76,-80,-74,-72,-76
0,0,-25,-73,-82,-76,-80,-74,-72,-76
0,0,-25,-73,-82,-76,-80,-74,-72,-76
0,0,-25,-73,-82,-76,-80,-74,-72,-80
0,0,-25,-73,-82,-76,-80,-74,-72,-80
0,0,-25,-73,-82,-76,-80,-74,-72,-76
0,0,-25,-73,-82,-76,-80,-74,-72,-76
0,0,-25,-73,-82,-76,-80,-74,-72,-76
0,0,-25,-73,-82,-76,-80,-74,-72,-76
0,0,-25,-73,-82,-76,-80,-74,-72,-76
0,0,-25,-73,-82,-76,-80,-74,-72,-76
0,0,-25,-73,-82,-76,-80,-74,-72,-76
0,0,-25,-73,-82,-76,-80,-72,-72,-76
0,0,-25,-73,-82,-76,-80,-72,-77,-76
0,0,-25,-73,-82,-76,-80,-72,-77,-76
0,0,-25,-74,-82,-76,-80,-72,-77,-76
0,0,-24,-74,-82,-76,-80,-72,-77,-76
0,0,-24,-74,-82,-76,-80,-72,-77,-76
0,0,-24,-74,-82,-76,-80,-72,-77,-80
0,0,-24,-74,-82,-76,-80,-75,-77,-80
0,0,-24,-74,-82,-76,-80,-75,-77,-80
0,0,-24,-74,-82,-76,-80,-75,-73,-80
0,0,-24,-74,-82,-76,-87,-75,-73,-80
0,0,-24,-74,-82,-76,-87,-75,-73,-80
0,0,-24,-74,-82,-76,-87,-75,-77,-80
0,0,-24,-74,-82,-76,-87,-75,-77,-80
0,0,-24,-74,-82,-76,-87,-75,-77,-80
0,0,-24,-74,-82,-76,-79,-75,-77,-80
